Garfield,James,Abram,11/19/1831,9/19/1881,Ohio,Ohio,Republican,3/4/1881,9/19/1881,TRUE,TRUE,Disciples of Christ
Arthur,Chester,Alan,10/5/1830,11/18/1886,Vermont,New York,Republican,9/19/1881,3/4/1885,FALSE,FALSE,Episcopalian
Cleveland,Grover,,3/18/1837,6/24/1908,New Jersey,New York,Democratic,3/4/1885,3/4/1889,FALSE,FALSE,Presbyterian
Harrison,Benjamin,,8/20/1833,3/13/1901,Ohio,Indiana,Republican,3/4/1889,3/4/1893,FALSE,FALSE,Presbyterian
Cleveland,Grover,,3/18/1837,6/24/1908,New Jersey,New York,Democratic,3/4/1893,3/4/1897,FALSE,FALSE,Presbyterian
McKinley,William,,1/29/1843,9/14/1901,Ohio,Ohio,Republican,3/4/1897,9/14/1901,TRUE,TRUE,Methodist
Roosevelt,Theodore,,10/27/1858,1/6/1919,New York,New York,Republican,9/14/1901,3/4/1909,TRUE,FALSE,Dutch Reformed
Taft,William,Howard,9/15/1857,3/8/1930,Ohio,Ohio,Republican,3/4/1909,3/4/1913,FALSE,FALSE,Unitarian
Wilson,Woodrow,,12/28/1856,2/3/1924,Virginia,New Jersey,Democratic,3/4/1913,3/4/1921,FALSE,FALSE,Presbyterian
Harding,Warren,Gamaliel,11/2/1865,8/2/1923,Ohio,Ohio,Republican,3/4/1921,8/2/1923,FALSE,FALSE,Baptist
Coolidge,Calvin,,7/4/1872,1/5/1933,Vermont,Massachusetts,Republican,8/2/1923,3/4/1929,FALSE,FALSE,Congregationalist
Hoover,Herbert,Clark,8/10/1874,10/20/1964,Iowa,Iowa,Republican,3/4/1929,3/4/1933,FALSE,FALSE,Quaker
Roosevelt,Franklin,Delano,1/30/1882,4/12/1945,New York,New York,Democratic,3/4/1933,4/12/1945,TRUE,FALSE,Episcopalian
Truman,Harry,S,5/8/1884,12/26/1972,Missouri,Missouri,Democratic,4/12/1945,1/20/1953,TRUE,FALSE,Baptist
Eisenhower,Dwight,David,10/14/1890,3/28/1969,Texas,Texas,Republican,1/20/1953,1/20/1961,FALSE,FALSE,Presbyterian
Kennedy,John,Fitzgerald,5/29/1917,11/22/1963,Massachusetts,Massachusetts,Democratic,1/20/1961,11/22/1963,TRUE,TRUE,Roman Catholic
Johnson,Lyndon,Baines,8/27/1908,1/22/1973,Texas,Texas,Democratic,11/22/1963,1/20/1969,FALSE,FALSE,Disciples of Christ
Nixon,Richard,Milhous,1/9/1913,4/22/1994,California,California,Republican,1/20/1969,8/9/1974,FALSE,FALSE,Quaker
Ford,Gerald,Rudolph,7/14/1913,12/26/2006,Nebraska,Michigan,Republican,8/9/1974,1/20/1977,TRUE,FALSE,Episcopalian
Carter,Jimmy,,10/1/1924,,Georgia,Georgia,Democratic,1/20/1977,1/20/1981,FALSE,FALSE,Baptist
Reagan,Ronald,Wilson,2/6/1911,6/5/2004,Illinois,California,Republican,1/20/1981,1/20/1989,TRUE,FALSE,Presbyterian
Bush,George,Herbert Walker,6/12/1924,,Massachusetts,Texas,Republican,1/20/1989,1/20/1993,FALSE,FALSE,Episcopalian
Clinton,William,Jefferson,8/19/1946,,Arkansas,Arkansas,Democratic,1/20/1993,1/20/2001,FALSE,FALSE,Baptist
Bush,George,Walker,7/6/1946,,Connecticut,Texas,Republican,1/20/2001,1/20/2009,FALSE,FALSE,Methodist
Obama,Barack,Hussein,8/4/1961,,Hawaii,Illinois,Democratic,1/20/2009,,,,Unaffiliated Christian
